Preston Williams,MIA,WR50,245,245
Antonio Gibson,WAS,RB50,248,248
Chase Edmonds,ARI,RB51,212,212
Kirk Cousins,MIN,QB21,277,277
Nyheim Hines,IND,RB52,263,263
Jerry Jeudy,DEN,WR51,263,263
Jack Doyle,IND,TE19,273,273
Henry Ruggs III,LV,WR52,250,250
Jimmy Garoppolo,SF,QB22,249,249
Mecole Hardman,KC,WR53,236,236
Justin Jefferson,MIN,WR54,270,270
Philip Rivers,IND,QB23,330,330
Gardner Minshew II,JAC,QB24,279,279
San Francisco (SF),,DST1,265,265
N'Keal Harry,NE,WR55,318,318
Robby Anderson,CAR,WR56,256,256
Pittsburgh (PIT),,DST2,225,225
Justin Jackson,LAC,RB53,230,230
Eric Ebron,PIT,TE20,278,278
Breshad Perriman,NYJ,WR57,275,275
Drew Lock,DEN,QB25,256,256
Curtis Samuel,CAR,WR58,205,205
Baltimore (BAL),,DST3,267,267
Chris Herndon IV,NYJ,TE21,257,257
Teddy Bridgewater,CAR,QB26,252,252
Ian Thomas,CAR,TE22,267,267
Buffalo (BUF),,DST4,255,255
New England (NE),,DST5,225,225
Allen Lazard,GB,WR59,218,218
A.J. Dillon,GB,RB55,227,227
Sammy Watkins,KC,WR60,268,268
Sam Darnold,NYJ,QB27,254,254
Brandon Aiyuk,SF,WR61,282,282
Parris Campbell,IND,WR62,262,262
Harrison Butker,KC,K1,221,221
DeSean Jackson,PHI,WR63,260,260
Carlos Hyde,SEA,RB56,241,241
Chicago (CHI),,DST6,271,271
Justin Tucker,BAL,K2,241,241
Jamaal Williams,GB,RB57,266,266
New Orleans (NO),,DST7,259,259
Irv Smith Jr.,MIN,TE23,292,292
Derek Carr,LV,QB28,226,226
Kansas City (KC),,DST8,298,298
Michael Pittman Jr.,IND,WR64,282,282
Larry Fitzgerald,ARI,WR65,284,284
Wil Lutz,NO,K3,283,283
Greg Zuerlein,DAL,K4,288,288
Minnesota (MIN),,DST9,223,223
James Washington,PIT,WR66,278,278
Los Angeles (LAR),,DST10,265,265
Alshon Jeffery,PHI,WR67,307,307
Dede Westbrook,JAC,WR68,268,268
Randall Cobb,HOU,WR69,263,263
Greg Olsen,SEA,TE24,269,269
Darrynton Evans,TEN,RB58,272,272
Corey Davis,TEN,WR70,263,263
Denver (DEN),,DST11,289,289
Giovani Bernard,CIN,RB59,270,270
DeAndre Washington,KC,RB60,266,266
Robbie Gould,SF,K5,301,301
Chris Thompson,JAC,RB61,240,240
Denzel Mims,NYJ,WR71,,
Hunter Renfrow,LV,WR72,,
Joshua Kelley,LAC,RB62,,
Tyrell Williams,LV,WR73,,
Anthony McFarland Jr.,PIT,RB63,,
Ryquell Armstead,JAC ,RB64,,
Matt Gay,TB,K6,,
Jace Sternberger,GB,TE25,,
Malcolm Brown,LAR,RB65,,
Los Angeles (LAC),,DST12,,
Benny Snell Jr.,PIT,RB66,,
Philadelphia (PHI),,DST13,,
Matt Prater,DET,K7,,
Rashaad Penny,SEA,RB67,,
Zane Gonzalez,ARI,K8,,
O.J. Howard,TB,TE26,,
Cole Beasley,BUF,WR74,,
Dawson Knox,BUF,TE27,,
Tennessee (TEN),,DST14,,
Dwayne Haskins,WAS,QB29,,
John Ross,CIN ,WR75,,
Jake Elliott,PHI,K9,,
Laviska Shenault Jr.,JAC,WR76,,
Ka'imi Fairbairn,HOU,K10,,
Seattle (SEA),,DST15,,
Steven Sims,WAS,WR77,,
Kyle Rudolph,MIN,TE28,,
Gerald Everett,LAR,TE29,,
Kenny Stills,HOU,WR78,,
Tyrod Taylor,LAC,QB30,,
Will Dissly,SEA,TE30,,
Michael Badgley,LAC,K11,,
Green Bay (GB),,DST16,,
Ito Smith,ATL,RB68,,
Indianapolis (IND),,DST17,,
Mason Crosby,GB,K12,,
Jalen Richard,LV,RB69,,
Royce Freeman,DEN,RB70,,
Cleveland (CLE),,DST18,,
Ryan Fitzpatrick,MIA,QB31,,
Justice Hill,BAL,RB71,,
Younghoe Koo,ATL,K13,,
Mohamed Sanu,NE,WR79,,
Dan Bailey,MIN,K14,,
Tee Higgins,CIN,WR80,,
Tampa Bay (TB),,DST19,,
Dallas (DAL),,DST20,,
Bryce Love,WAS,RB72,,
Jason Myers,SEA,K15,,
New York (NYJ),,DST21,,
Jerick McKinnon,SF,RB73,,
Brandon McManus,DEN,K16,,
Nick Foles,CHI,QB32,,
Danny Amendola,DET,WR81,,
Gus Edwards,BAL,RB74,,
Chris Boswell,PIT,K17,,
Josh Reynolds,LAR,WR82,,
Rex Burkhead,NE,RB75,,
Jaylen Samuels,PIT,RB76,,
Joey Slye,CAR,K18,,
Chris Conley,JAC,WR83,,
Jimmy Graham,CHI,TE31,,
David Njoku,CLE,TE32,,
Dion Lewis,NYG,RB77,,
Miles Boykin,BAL,WR84,,
Darwin Thompson,KC,RB78,,
Stephen Hauschka,BUF,K19,,
Peyton Barber,WAS,RB79,,
Russell Gage,ATL,WR85,,
Houston (HOU),,DST22,,
Austin Seibert,CLE,K20,,
Tua Tagovailoa,MIA,QB33,,
Josh Lambo,JAC,K21,,
Washington (WAS),,DST23,,
Andy Isabella,ARI,WR86,,
Tre'Quan Smith,NO,WR87,,
Mitch Trubisky,CHI,QB34,,
Dare Ogunbowale,TB,RB80,,
Tyler Eifert,JAC,TE33,,
Devonta Freeman,FA,RB81,,
Brian Hill,ATL,RB82,,
LeSean McCoy,TB,RB83,,
Brett Maher,NYJ,K22,,
Jacksonville (JAC),,DST24,,
Vance McDonald,PIT,TE34,,
