Lamar Miller,NE,RB85,"Great SoS, impossible team to predict"
Ke'Shawn Vaughn,TB,RB47,
Tony Pollard,DAL,RB48,
Boston Scott,PHI,RB49,
Blake Jarwin,DAL,TE18,
Joe Burrow,CIN,QB20,
Preston Williams,MIA,WR50,
Antonio Gibson,WAS,RB50,
Chase Edmonds,ARI,RB51,
Kirk Cousins,MIN,QB21,
Nyheim Hines,IND,RB52,
Jerry Jeudy,DEN,WR51,
Jack Doyle,IND,TE19,
Henry Ruggs III,LV,WR52,
Jimmy Garoppolo,SF,QB22,
Mecole Hardman,KC,WR53,
Justin Jefferson,MIN,WR54,
Philip Rivers,IND,QB23,
Gardner Minshew II,JAC,QB24,
San Francisco (SF),,DST1,
N'Keal Harry,NE,WR55,
Robby Anderson,CAR,WR56,
Pittsburgh (PIT),,DST2,
Justin Jackson,LAC,RB53,
Eric Ebron,PIT,TE20,
Breshad Perriman,NYJ,WR57,
Drew Lock,DEN,QB25,
Curtis Samuel,CAR,WR58,
Baltimore (BAL),,DST3,
Chris Herndon IV,NYJ,TE21,
Teddy Bridgewater,CAR,QB26,
Ian Thomas,CAR,TE22,
Buffalo (BUF),,DST4,
New England (NE),,DST5,
Allen Lazard,GB,WR59,
A.J. Dillon,GB,RB55,
Sammy Watkins,KC,WR60,
Sam Darnold,NYJ,QB27,
Brandon Aiyuk,SF,WR61,
Parris Campbell,IND,WR62,
Harrison Butker,KC,K1,
DeSean Jackson,PHI,WR63,
Carlos Hyde,SEA,RB56,
Chicago (CHI),,DST6,
Justin Tucker,BAL,K2,
Jamaal Williams,GB,RB57,
New Orleans (NO),,DST7,
Irv Smith Jr.,MIN,TE23,
Derek Carr,LV,QB28,
Kansas City (KC),,DST8,
Michael Pittman Jr.,IND,WR64,
Larry Fitzgerald,ARI,WR65,
Wil Lutz,NO,K3,
Greg Zuerlein,DAL,K4,
Minnesota (MIN),,DST9,
James Washington,PIT,WR66,
Los Angeles (LAR),,DST10,
Alshon Jeffery,PHI,WR67,
Dede Westbrook,JAC,WR68,
Randall Cobb,HOU,WR69,
Greg Olsen,SEA,TE24,
Darrynton Evans,TEN,RB58,
Corey Davis,TEN,WR70,
Denver (DEN),,DST11,
Giovani Bernard,CIN,RB59,
DeAndre Washington,KC,RB60,
Robbie Gould,SF,K5,
Chris Thompson,JAC,RB61,
Denzel Mims,NYJ,WR71,
Hunter Renfrow,LV,WR72,
Joshua Kelley,LAC,RB62,
Tyrell Williams,LV,WR73,
Anthony McFarland Jr.,PIT,RB63,
Ryquell Armstead,JAC ,RB64,
Matt Gay,TB,K6,
Jace Sternberger,GB,TE25,
Malcolm Brown,LAR,RB65,
Los Angeles (LAC),,DST12,
Benny Snell Jr.,PIT,RB66,
Philadelphia (PHI),,DST13,
Matt Prater,DET,K7,
Rashaad Penny,SEA,RB67,
Zane Gonzalez,ARI,K8,
O.J. Howard,TB,TE26,
Cole Beasley,BUF,WR74,
Dawson Knox,BUF,TE27,
Tennessee (TEN),,DST14,
Dwayne Haskins,WAS,QB29,
John Ross,CIN ,WR75,
Jake Elliott,PHI,K9,
Laviska Shenault Jr.,JAC,WR76,
Ka'imi Fairbairn,HOU,K10,
Seattle (SEA),,DST15,
Steven Sims,WAS,WR77,
Kyle Rudolph,MIN,TE28,
Gerald Everett,LAR,TE29,
Kenny Stills,HOU,WR78,
Tyrod Taylor,LAC,QB30,
Will Dissly,SEA,TE30,
Michael Badgley,LAC,K11,
Green Bay (GB),,DST16,
Ito Smith,ATL,RB68,
Indianapolis (IND),,DST17,
Mason Crosby,GB,K12,
Jalen Richard,LV,RB69,
Royce Freeman,DEN,RB70,
Cleveland (CLE),,DST18,
Ryan Fitzpatrick,MIA,QB31,
