7.05,77.5,Tom Brady,TB,QB,735,8.4,55,102,9
7.06,78.1,Noah Fant,DEN,TE,247,8.1,57,119,11
7.09,81.1,A.J. Dillon,GB,RB,710,6.4,64,98,13
7.09,81.5,Courtland Sutton,DEN,WR,660,5.9,66,105,11
7.1,82,DeVonta Smith,PHI,WR,719,6.1,66,102,14
7.12,83.8,Antonio Brown,TB,WR,1121,6.8,66,113,9
7.12,84.4,Leonard Fournette,TB,RB,507,7.9,63,103,9
8.02,86.1,Matthew Stafford,LAR,QB,910,8.4,64,110,11
8.02,86.3,JuJu Smith-Schuster,PIT,WR,775,7.2,67,105,7
8.02,86.5,Dallas Goedert,PHI,TE,316,9.3,62,115,14
8.04,87.5,Robby Anderson,CAR,WR,1031,7,69,108,13
8.04,87.8,James Conner,ARI,RB,611,7.2,68,114,12
8.06,89.5,Deebo Samuel,SF,WR,531,6.3,73,105,6
8.08,91.6,Ryan Tannehill,TEN,QB,894,8.5,69,118,13
8.08,91.6,Devin Singletary,BUF,RB,442,8.3,69,123,7
8.08,92.1,Gus Edwards,BAL,RB,695,7,73,114,8
8.09,93.2,David Johnson,HOU,RB,305,6.3,76,110,10
8.11,95.2,Mike Gesicki,MIA,TE,424,11.2,66,136,14
8.12,95.9,D.J. Chark,JAX,WR,420,6.7,78,120,7
8.12,95.9,Jalen Hurts,PHI,QB,639,8.7,73,118,14
9.01,96.6,Robert Tonyan Jr.,GB,TE,586,11.2,67,141,13
9.01,97.5,Tyler Boyd,CIN,WR,694,8,76,126,10
9.02,97.8,Laviska Shenault Jr.,JAX,WR,508,7.4,78,115,7
9.03,98.8,Kenyan Drake,LV,RB,547,7.8,78,143,8
9.04,100.4,Jamaal Williams,DET,RB,773,7.5,80,120,9
9.05,101.1,Tony Pollard,DAL,RB,368,7.8,80,120,7
9.05,101.5,Michael Pittman Jr.,IND,WR,559,7.3,82,119,14
9.08,103.6,Brandin Cooks,HOU,WR,705,8.1,82,125,10
9.09,104.8,Phillip Lindsay,HOU,RB,594,8.2,83,129,10
9.11,106.6,Will Fuller,MIA,WR,383,8.1,85,132,14
9.11,106.9,Alexander Mattison,MIN,RB,254,8,86,124,7
9.11,107.1,Pittsburgh Defense,PIT,DEF,488,12,75,137,7
9.11,107.3,Jaylen Waddle,MIA,WR,666,7.7,87,125,14
10.01,109.4,Joe Burrow,CIN,QB,404,9.2,85,137,10
10.02,110.3,Tyler Higbee,LAR,TE,1072,13.6,74,156,11
10.03,111.3,LA Rams Defense,LAR,DEF,447,11.4,81,138,11
10.04,112.4,Mike Williams,LAC,WR,442,7.8,92,148,7
