"61","6","","Kyler Murray","ARI","QB5","8","26","80","60.2","6.6","55.0","-6.0"
"62","6","","Raheem Mostert","SF","RB25","11","21","149","62.3","15.8","65.0","+3.0"
"63","6","","Deshaun Watson","HOU","QB6","8","31","91","64.0","7.3","62.0","-1.0"
"64","6","","Devin Singletary","BUF","RB26","11","12","124","65.6","13.0","50.0","-14.0"
"65","6","","A.J. Green","CIN","WR28","9","25","148","68.0","16.5","60.0","-5.0"
"66","6","","Jarvis Landry","CLE","WR29","9","36","122","69.0","11.7","68.0","+2.0"
"67","6","","Michael Gallup","DAL","WR30","10","37","118","69.2","12.6","74.0","+7.0"
"68","7","","Marquise Brown","BAL","WR31","8","41","123","71.6","11.5","67.0","-1.0"
"69","7","","D'Andre Swift","DET","RB27","5","31","112","71.1","15.4","73.0","+4.0"
"70","7","","Tyler Boyd","CIN","WR32","9","39","224","75.4","12.6","83.0","+13.0"
"71","7","","Cam Akers","LAR","RB28","9","24","151","72.2","17.9","85.0","+14.0"
"72","7","","Josh Allen","BUF","QB7","11","37","115","77.6","11.1","72.0","0.0"
"73","7","","Julian Edelman","NE","WR33","6","37","170","78.4","17.7","82.0","+9.0"
"74","7","","Evan Engram","NYG","TE6","11","46","161","79.3","22.0","69.0","-5.0"
"75","7","","Matt Ryan","ATL","QB8","10","41","111","80.6","11.2","86.0","+11.0"
"76","7","","Marvin Jones","DET","WR34","5","45","167","81.8","12.5","90.0","+14.0"
"77","7","","Kareem Hunt","CLE","RB29","9","44","134","83.2","13.2","80.0","+3.0"
"78","7","","Tyler Higbee","LAR","TE7","9","26","147","83.8","21.4","107.0","+29.0"
"79","7","","Brandin Cooks","HOU","WR35","8","50","184","84.5","18.8","79.0","0.0"
"80","7","","Will Fuller","HOU","WR36","8","48","195","84.8","18.7","87.0","+7.0"
"81","7","","Hunter Henry","LAC","TE8","10","53","143","82.2","19.0","71.0","-10.0"
"82","7","","Derrius Guice","WAS","RB30","8","39","176","87.7","18.7","75.0","-7.0"
"83","7","","Sony Michel","NE","RB31","6","57","141","88.1","15.2","76.0","-7.0"
"84","7","","Carson Wentz","PHI","QB9","9","43","150","89.8","13.1","91.0","+7.0"
"85","7","","Drew Brees","NO","QB10","6","46","117","90.7","13.7","84.0","-1.0"
"86","7","","Jordan Howard","MIA","RB32","11","60","164","91.4","16.5","98.0","+12.0"
"87","7","","Tom Brady","TB","QB11","13","44","131","93.9","14.0","101.0","+14.0"
"88","7","","Ronald Jones II","TB","RB33","13","44","170","94.4","22.1","93.0","+5.0"
"89","8","","Jared Cook","NO","TE9","6","53","191","96.1","26.4","92.0","+3.0"
"90","8","","Damien Williams","KC","RB34","10","56","183","96.7","20.1","88.0","-2.0"
"91","8","","John Brown","BUF","WR37","11","62","203","98.2","19.9","89.0","-2.0"
"92","8","","Mike Williams","LAC","WR38","10","49","186","99.4","21.5","102.0","+10.0"
"93","8","","Darius Slayton","NYG","WR39","11","62","191","99.4","20.8","99.0","+6.0"
"94","8","","Christian Kirk","ARI","WR40","8","64","196","99.5","22.6","94.0","0.0"
"95","8","","Matthew Stafford","DET","QB12","5","48","131","100.4","11.7","108.0","+13.0"
"96","8","","Aaron Rodgers","GB","QB13","5","54","148","100.7","14.6","77.0","-19.0"
"97","8","","J.K. Dobbins","BAL","RB35","8","28","168","98.0","19.4","103.0","+6.0"
"98","8","","Diontae Johnson","PIT","WR41","8","48","175","101.6","23.1","121.0","+23.0"
"99","8","","Deebo Samuel","SF","WR42","11","62","284","102.5","36.3","61.0","-38.0"
"100","8","","Ke'Shawn Vaughn","TB","RB36","13","34","181","98.2","22.0","115.0","+15.0"
"101","8","","Marlon Mack","IND","RB37","7","44","183","107.3","22.8","70.0","-31.0"
"102","8","","Tevin Coleman","SF","RB38","11","58","193","107.4","20.3","100.0","-2.0"
"103","8","","Rob Gronkowski","TB","TE10","13","61","153","94.6","22.0","78.0","-25.0"
"104","8","","Matt Breida","MIA","RB39","11","76","166","109.4","15.1","97.0","-7.0"
"105","8","","Emmanuel Sanders","NO","WR43","6","60","189","110.1","20.9","104.0","-1.0"
"106","8","","CeeDee Lamb","DAL","WR44","10","58","174","107.7","24.5","109.0","+3.0"
"107","8","","Phillip Lindsay","DEN","RB40","8","59","166","111.3","17.6","95.0","-12.0"
"108","8","","Kerryon Johnson","DET","RB41","5","52","198","112.2","20.4","81.0","-27.0"
"109","8","","Hayden Hurst","ATL","TE11","10","44","273","105.0","31.1","144.0","+35.0"
"110","8","","Jamison Crowder","NYJ","WR45","11","64","220","115.2","27.9","139.0","+29.0"
"111","8","","Anthony Miller","CHI","WR46","11","73","213","116.1","22.6","133.0","+22.0"
"112","8","","Daniel Jones","NYG","QB14","11","52","188","116.7","18.8","111.0","-1.0"
"113","8","","James White","NE","RB42","6","76","201","117.1","18.5","116.0","+3.0"
"114","8","","Sterling Shepard","NYG","WR47","11","74","202","113.9","20.8","114.0","0.0"
"115","8","","Austin Hooper","CLE","TE12","9","53","163","114.7","18.2","96.0","-19.0"
"116","8","","Latavius Murray","NO","RB43","6","56","199","118.5","20.1","112.0","-4.0"
